test,age,n_total_3SD,pass_rate_3SD,prop_out_3SD,binom_p_3SD,transferable_3SD,n_total_RAW,pass_rate_RAW,prop_out_RAW,binom_p_RAW,transferable_RAW,delta_n,delta_pass_rate
PT,1,1143,16,21.95975503062117,2.620567105262016e-87,No,1155,12.5,22.770562770562773,3.969910600018377e-95,No,12,-3.5
PT,2,873,3.5000000000000004,29.553264604811,2.053884196533036e-121,No,880,2.5,30.113636363636363,7.528513000104803e-127,No,7,-1.0000000000000004
PT,3,745,3.5000000000000004,30.469798657718123,3.9778078609459984e-110,No,750,2,30.933333333333334,4.509610226897872e-114,No,5,-1.5000000000000004
PT,4,822,1.5,31.143552311435524,1.9059159968361615e-126,No,825,2.5,31.393939393939398,7.749738911203912e-129,No,3,1
PT,5,970,2.5,30.20618556701031,1.9338767273687117e-140,No,978,2.5,30.777096114519427,9.978393385071166e-147,No,8,0
PT,6,1030,4.5,30.194174757281555,6.87543711383288e-149,No,1038,3,30.732177263969174,3.576837166855965e-155,No,8,-1.5
PT,7,1020,6,27.254901960784313,6.107658104969594e-121,No,1026,6.5,27.680311890838205,2.1974234466132005e-125,No,6,0.5
PT,8,934,14.499999999999998,22.05567451820129,2.360219003974558e-72,No,942,13.5,22.717622080679405,1.4279920250526778e-77,No,8,-0.9999999999999982
PT,9,877,2.5,31.12884834663626,1.182974941901371e-134,No,881,2.5,31.441543700340524,7.664921312033324e-138,No,4,0
PT,10,837,5,29.868578255675033,7.042285906788186e-119,No,841,3.5000000000000004,30.202140309155766,5.366528951623979e-122,No,4,-1.4999999999999996
PT,11,771,3,32.295719844357976,3.9300026609796315e-127,No,775,1.5,32.645161290322584,2.1934902440759143e-130,No,4,-1.5
PT,12,791,1.5,38.93805309734513,4.588228817550928e-184,No,793,0,39.09205548549811,7.516459255269944e-186,No,2,-1.5
PT,13,899,0.5,39.93325917686318,1.0691115234215858e-218,No,901,0.5,40.066592674805776,1.6669217950325168e-220,No,2,0
PT,14,959,0.5,36.809176225234616,5.316637264236716e-201,No,964,0,37.136929460580916,2.390723894166158e-205,No,5,-0.5
PT,15,1219,4,31.33716160787531,9.435206030246434e-189,No,1227,1,31.784841075794624,3.707238071042229e-195,No,8,-3
PT,16,1391,5.5,27.53414809489576,1.6190816903029391e-167,No,1395,3,27.741935483870968,1.7249240927350942e-170,No,4,-2.5
PT,17,1626,21,19.92619926199262,3.9886701259767705e-100,No,1629,26,20.073664825046038,6.1943534876743264e-102,No,3,5
PT,18,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
aPTT,1,1153,27,18.386816999132694,5.944233556195389e-60,No,1172,28.499999999999996,19.7098976109215,5.148348269696561e-71,No,19,1.4999999999999964
aPTT,2,875,24.5,18.4,5.036464791689126e-46,No,888,24,19.594594594594593,1.3886344012662482e-53,No,13,-0.5
aPTT,3,735,55.00000000000001,12.108843537414966,3.097490860982863e-14,No,742,52,12.93800539083558,4.650392482318754e-17,No,7,-3.000000000000007
aPTT,4,818,56.00000000000001,12.102689486552569,1.2388857412173298e-15,No,821,57.49999999999999,12.423873325213155,8.14743643639718e-17,No,3,1.4999999999999858
aPTT,5,966,59.5,12.008281573498964,8.997680304981222e-18,No,971,54,12.461380020597321,9.825921176517879e-20,No,5,-5.5
aPTT,6,1012,53,12.15415019762846,3.7017670185241747e-19,No,1018,49.5,12.671905697445974,1.5075113210527735e-21,No,6,-3.5
aPTT,7,1024,47.5,13.76953125,6.890137672486775e-27,No,1033,44.5,14.52081316553727,5.621776881016957e-31,No,9,-3
aPTT,8,930,42,14.086021505376344,4.996738030808331e-26,No,937,41.5,14.727854855923159,2.896879026265997e-29,No,7,-0.5
aPTT,9,880,48.5,14.09090909090909,9.588506102581498e-25,No,885,33.5,14.576271186440678,4.7852338940254154e-27,No,5,-15
aPTT,10,841,53.5,12.48513674197384,2.079060653192895e-17,No,843,51.5,12.69276393831554,3.2192557684421385e-18,No,2,-2
aPTT,11,779,53.5,11.810012836970476,5.116301902466635e-14,No,781,54,12.03585147247119,8.798743751594491e-15,No,2,0.5
aPTT,12,787,48,13.087674714104194,1.5710192716174759e-18,No,789,50.5,13.307984790874524,2.214505600236269e-19,No,2,2.5
aPTT,13,883,52,13.476783691959229,3.456341642325146e-22,No,885,43.5,13.67231638418079,4.618223412913041e-23,No,2,-8.5
aPTT,14,959,33,16.16266944734098,2.226663281153897e-37,No,963,34.5,16.510903426791277,1.9154377931229495e-39,No,4,1.5
aPTT,15,1190,40,15.042016806722687,1.236916990077584e-38,No,1194,42.5,15.326633165829145,1.42781943244911e-40,No,4,2.5
aPTT,16,1387,22,17.73612112472963,4.21496578058454e-66,No,1393,23,18.090452261306535,1.9588318137916076e-69,No,6,1
aPTT,17,1681,18.5,19.393218322427128,1.8623704378348796e-97,No,1686,25,19.632265717674972,2.0363486822469435e-100,No,5,6.5
aPTT,18,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
