test,age,n,lower,upper,n_total,pass_rate,n_outside,prop_outside,binom_p,binom_reject,transferable
PT,1,68,7.8,10.3,1143,16,251,21.95975503062117,2.6205671052620166e-87,Yes,No
PT,2,116,7.8,10.1,873,3.5000000000000004,258,29.553264604810998,2.053884196533036e-121,Yes,No
PT,3,57,7.8,10,745,3.5000000000000004,227,30.469798657718123,3.9778078609459984e-110,Yes,No
PT,4,26,7.9,10,822,1.5,256,31.143552311435524,1.9059159968361615e-126,Yes,No
PT,5,57,8,10,970,2.5,293,30.20618556701031,1.933876727368712e-140,Yes,No
PT,6,97,8,10.1,1030,4.5,311,30.194174757281555,6.875437113832881e-149,Yes,No
PT,7,137,8,10.2,1020,6,278,27.254901960784313,6.107658104969595e-121,Yes,No
PT,8,140,8.1,10.3,934,14.499999999999998,206,22.055674518201286,2.360219003974558e-72,Yes,No
PT,9,97,7.9,10.1,877,2.5,273,31.12884834663626,1.182974941901371e-134,Yes,No
PT,10,51,7.9,10.1,837,5,250,29.868578255675033,7.042285906788186e-119,Yes,No
PT,11,26,7.9,10,771,3,249,32.295719844357976,3.930002660979632e-127,Yes,No
PT,12,38,8,10,791,1.5,308,38.93805309734513,4.5882288175509284e-184,Yes,No
PT,13,27,8,10,899,0.5,359,39.93325917686318,1.069111523421586e-218,Yes,No
PT,14,22,8.1,10.1,959,0.5,353,36.809176225234616,5.316637264236716e-201,Yes,No
PT,15,19,8.1,10.2,1219,4,382,31.33716160787531,9.435206030246437e-189,Yes,No
PT,16,15,8.1,10.3,1391,5.5,383,27.534148094895762,1.6190816903029391e-167,Yes,No
PT,17,25,8.2,10.5,1626,21,324,19.92619926199262,3.9886701259767705e-100,Yes,No
PT,18,14,8.2,10.7,0,NA,NA,NA,NA,NA,NA
aPTT,1,66,25.2,35.6,1153,27,212,18.386816999132698,5.944233556195388e-60,Yes,No
aPTT,2,115,24.6,34.9,875,24.5,161,18.4,5.036464791689126e-46,Yes,No
aPTT,3,59,24.3,34.5,735,55.00000000000001,89,12.108843537414966,3.097490860982863e-14,Yes,No
aPTT,4,26,24.3,34.4,818,56.00000000000001,99,12.102689486552567,1.2388857412173298e-15,Yes,No
aPTT,5,53,24.5,34.6,966,59.5,116,12.008281573498964,8.997680304981222e-18,Yes,No
aPTT,6,96,24.8,34.8,1012,53,123,12.154150197628459,3.701767018524175e-19,Yes,No
aPTT,7,136,25.1,34.9,1024,47.5,141,13.76953125,6.890137672486775e-27,Yes,No
aPTT,8,133,25.2,35.1,930,42,131,14.086021505376344,4.996738030808331e-26,Yes,No
aPTT,9,97,25.2,36.2,880,48.5,124,14.09090909090909,9.588506102581498e-25,Yes,No
aPTT,10,50,24.9,35.2,841,53.5,105,12.48513674197384,2.0790606531928953e-17,Yes,No
aPTT,11,26,24.6,34.4,779,53.5,92,11.810012836970476,5.1163019024666354e-14,Yes,No
aPTT,12,40,24.4,33.9,787,48,103,13.087674714104194,1.571019271617476e-18,Yes,No
aPTT,13,29,24.3,33.6,883,52,119,13.476783691959229,3.456341642325146e-22,Yes,No
aPTT,14,23,24.4,33.5,959,33,155,16.16266944734098,2.226663281153897e-37,Yes,No
aPTT,15,19,24.6,33.7,1190,40,179,15.042016806722689,1.236916990077584e-38,Yes,No
aPTT,16,18,24.9,34.3,1387,22,246,17.73612112472963,4.21496578058454e-66,Yes,No
aPTT,17,24,25.4,35.1,1681,18.5,326,19.393218322427128,1.8623704378348796e-97,Yes,No
aPTT,18,12,24.7,32.4,0,NA,NA,NA,NA,NA,NA
