age_int,n,mean,sd,median,q25,q75,min,max,skewness,kurtosis
1,1143,9.85,1.11,9.64,9.17,10.3,7.89,17.1,2.321,11.996
2,873,9.92,1.08,9.71,9.24,10.3,7.98,15.8,1.844,7.821
3,745,9.86,1.04,9.63,9.24,10.2,8.19,17.1,2.264,12.291
4,822,9.85,0.91,9.71,9.26,10.2,8.09,16,1.781,9.368
5,970,9.88,1.01,9.71,9.29,10.2,7.88,16.9,2.6,14.582
6,1030,9.92,0.95,9.77,9.32,10.3,8.13,16.1,2.113,10.869
7,1020,9.96,0.99,9.79,9.33,10.3,8.21,16.4,2.191,11.648
8,934,9.87,0.96,9.72,9.29,10.3,7.56,17.3,2.647,16.809
9,877,9.97,0.92,9.83,9.41,10.3,7.66,15.9,1.788,9.13
10,837,9.93,0.88,9.77,9.39,10.3,8.4,16.7,2.033,11.459
11,771,9.89,0.85,9.74,9.37,10.3,8.07,15.3,1.858,9.454
12,791,9.97,0.87,9.83,9.43,10.35,8.01,15.9,1.767,10.005
13,899,10.03,0.98,9.89,9.42,10.4,7.95,17.4,2.513,15.558
14,959,10.02,0.97,9.87,9.39,10.4,6.1,15.8,1.506,8.047
15,1219,10.02,0.98,9.86,9.4,10.4,8.17,16.6,1.901,10.273
16,1391,9.96,0.91,9.83,9.36,10.4,7.64,16.4,1.197,6.997
17,1626,9.9,1.04,9.74,9.28,10.3,7.5,17.1,2.173,12.153
